ID_W,WAVE OF SURVEY=YEAR
J365,NECESSITY TO PAY TO POLICEMAN L5Y?
J332,WERE A VICTIM L5Y?
J366.1,FILLED AN APPLICATION AFTER A CRIME?
J366.2,REQUESTED ASSISTANCE AFTER A CRIME?
J366.3,SOLVED PROBLEM BY YOURSELF AFTER A CRIME?
J366.4,DID NOTHING AFTER A CRIME?
J367,EVALUATION OF POLICE WORK IN YOUR SETTLEMENT
J721701,SPOUSE AGREES_SUPPORTS
J721702,SPOUSE IS ANGRY_AGGRESSIVE
J721703,SPOUSE CARES
J721704,SPOUSE COMPLICATES LIFE
J721705,SPOUSE GIVES ADVICE
J721706,SPOUSE SHOWS DISPLEASURE
J721707,SPOUSE LISTENS
J721708,SPOUSE DOES NOT WANT
J721709,SPOUSE BOLSTERS CONFIDENCE
J721710,SPOUSE MAKES R NERVOUS
J721711,SPOUSE UNDERSTANDS THOUGHTS
J721712,SPOUSE CRITICIZES
J721713,SPOUSE HELPS
J721714,SPOUSE OFFENDS
J721715,SPOUSE IS RELIABLE
J205.1A,COMMUTED TO PLACE OF WORK
J205.1B,COMMUTED TO PLACE OF WORK
J205.2A,ATTENDED STUDIES OR STUDIED
J205.2B,STUDIED--M IN WORKING DAY
J205.2C,STUDIED--M IN NON-WORKING DAY
J205.3A,PURCHASED FOOD GOODS
J205.3B,PURCHASED FOOD GOODS--M IN WORKING DAY
J205.3C,PURCHASED FOOD GOODS--M IN NON-WORKING DAY
J205.4A,PREPARED FOOD
J205.4B,PREPARED FOOD--M IN WORKING DAY
J205.4C,PREPARED FOOD--M IN NON-WORKING DAY
J205.5A,WASHED DISHES
J205.5B,WASHED DISHES--M IN WORKING DAY
J205.9A,DID REPAIR WORK OF HOUSE
J205.9B,DID REPAIR WORK OF HOUSE--M IN WORKING DAY
J205.9C,DID REPAIR WORK OF HOUSE--M IN NON-WORKIN DAY
J20510A,WORKED ON LAND PLOT
J20510B,WORKED ON LAND PLOT--M IN WORKING DAY
J20510C,WORKED ON LAND PLOT--M IN NON-WORKING DAY
J20511A,DROVE A CAR
J20511B,DROVE A CAR--M IN WORKING DAY
J20511C,DROVE A CAR--M IN NON-WORKING DAY
J20512A,PLAYED W_CHILDREN
J20512B,PLAYED W_CHILDREN--M IN WORKING DAY
J20512C,PLAYED W_CHILDREN--M IN NON-WORKING DAY
J20513A,LOOKED AFTER CHILDREN
J20513B,LOOKED AFTER CHILDREN--M IN WORKING DAY
J20513C,LOOKED AFTER CHILDREN--M IN NON-WORKING DAY
J20514A,CARED FOR MEMBERS OF FAMILY
J20514B,CARED FOR MEMBERS OF FAMILY--M IN WORKING DAY
J20514C,CARED FOR MEMBERS OF FAMILY--M IN NON- WORKING DAY
J20515A,HELPED PARENTS
J20515B,HELPED PARENTS--M IN WORKING DAY
J20515C,HELPED PARENTS--M IN NON-WORKING DAY
J20516A,HELPED CHILDREN
J20516B,HELPED CHILDREN--M IN WORKING DAY
J20516C,HELPED CHILDREN--M IN NON-WORKING DAY
J20517A,HELPED GRANDPARENTS
J20517B,HELPED GRANDPARENTS--M IN WORKING DAY
J20517C,HELPED GRANDPARENTS--M IN NON-WORKING DAY
J20518A,HELPED GRANDCHILDREN
J20518B,HELPED GRANDCHILDREN--M IN WORKING DAY
J20518C,HELPED GRANDCHILDREN--M IN NON-WORKING DAY
J173.1,"AGREE OR DISAGREE: IF ONE CONSIDERS THE LAW UNFAIR, HE HAS THE RIGHT TO ""GET AROUND IT""?"
J173.2,"AGREE OR DISAGREE:  THE COURTS IN RUSSIA ""CORRUPT""?"
J173.3,AGREE OR DISAGREE: IT IS IMPOSSIBLE TO LIVE IN RUSSIA WITHOUT BREAKING THE LAW?
J173.4,"AGREE OR DISAGREE: IF POLITICIANS DO NOT RESPECT THE LAWS, THE ORDINARY PEOPLE CAN NOT COMPLY WITH THE LAWS?"
J174.1,REASON:THE HIGH COST OF FILING A LAWSUIT?
J174.2,REASON: THE HIGH COST OF SERVICES OF LAWYERS AND LAWYERS?
J174.3,REASON:JUDGES OF BIAS?
J174.4,REASON:LOW PROFESSIONAL LEVEL OF THE JUDGES?
J174.5,REASON:TOO LONG TO DECIDE THE CASE IN COURT?
J174.6,REASON:THE COURT DECISION IS NOT OFTEN PERFORMED?
J176,HAVE IN THE PAST FIVE YEARS TO DEAL WITH THE COURTS
J402,"WHAT WAS THE CASE, WHEN YOU WERE DEALING WITH THE COURT?"
J403,WHAT WAS YOUR ROLE IN THIS CASE?
J404,WHAT WAS YOUR ROLE IN THIS CASE?
J178,CONSULT WITH A LAWYER OR A LAWYER LAST 2 YEARS?
J108A,VOTED IN PRESIDENTIAL ELECTION ON MARCH 14 2004?
J109A,CHOICE FOR PRESIDENT ON MARCH 14 2004?
J182,VOTED IN PARLIAMENTARY ELECT?
J183,PARTY_BLOCK CHOICE
J207.1,EXTENT OF TRUST OF GOVERNMENT
J207.2,EXTENT OF TRUST OF STATE DUMA
J207.3,EXTENT OF TRUST OF COURTS
J207.5,EXTENT OF TRUST OF ARMY
J207.6,EXTENT OF TRUST OF POLICE
J207.7,EXTENT OF TRUST OF RUSSIAN BANKS
J207.8,EXTENT OF TRUST OF FOREIGN BANKS
J207.9,EXTENT OF TRUST OF INSURANCE COMPANIES
J207.10,EXTENT OF TRUST OF PRIVATE BUSINESS
J207.11,EXTENT OF TRUST OF POLITICAL PARTIES
J208.1,FREE ELECTION--IMPORTANT?
J208.2,LAW AND ORDER--IMPORTANT?
J208.3,FREEDOM OF SPEECH--IMPORTANT?
J208.4,INDEPENDENT PRESS--IMPORTANT?
J208.5,POLITICAL OPPOSITION--IMPORTANT?
J208.6,FAIR COURTS--IMPORTANT?
J208.7,PROTECTION OF RIGHT--IMPORTANT?
J209.1,2 TERMS FOR OFFICIALS
J209.2,TO APPOINT GOVERNORS
J209.3,NAT`L GOVT DECISIONS INCL PEOPLE`S INTERESTS
J209.4,REGN`L GOVT DECISIONS INCL PEOPLE`S INTERESTS
J209.5,CORRUPTION DECLINED
J209.6,RUSSIA DOES NOT AFFECT EVENTS
J210.1,RICH EARNED CAPITAL BY WORK AND TALENT
J210.2,RICH BECAUSE THEY WERE LUCKY
J210.3,RICH BECAME RICH BY CRIMINAL ACTIONS
J210.4,RICH BECAME RICH BY POLITICAL CONNECTION
J211.01,WORK HARD TO BE A MILLIONAIRE
J211.02,HAVE GOOD EDUCATON TO BE A MILLIONAIRE
J211.03,HAVE A TALENT TO BE A MILLIONAIRE
J211.04,HAVE POLITICAL CONNECTIONS TO BE A MILLIONAIRE
J211.05,HAVE CONNECTIONS IN BUSINESS TO BE A MILLIONAIRE
J211.06,BE CONNECTED W_CRIMINAL GROUPS TO BE A MILLIONAIRE
J211.07,BE OCCUPIED W_CRIMINAL ACTONS TO BE A MILLIONAIRE
J212,WHY ARE PEOPLE POOR?
J213,WHAT PEOPLE RESPECT?
J214.01,GIVE POOR PEOPLE SUBSIDIES--REDUCE INEQUALITY
J214.02,RAISE TAXES OF THE WEALTHIEST--REDUCE INEQUALITY
J214.03,MAKE GOOD EDUC AVAILABLE FOR EVRBD--REDUCE INEQUALITY
J214.04,IMPLEMENT STATE PRICE REGULATION--REDUCE INEQUALITY
J214.05,INCREASE THE POWER OF UNIONS--REDUCE INEQUALITY
J214.06,RETURN PRIVATE ENTERPRISES TO STATE--REDUCE INEQUALITY
J214.07,INCREASE CONTROL OVER OBSERVE LAWS--REDUCE INEQUALITY
J214.08,ECONOMIC GROWTH IS NECl58ESSARY--REDUCE REDUCE INEQUALITY
J214.09,REVOLUTION IS NECESSARY--REDUCE INEQUALITY
J214.10,NO NEED TO REDUCE INCM DIFFERENCES--REDUCE INEQUALITY
J215A,FATHERS BIRTH YEAR
J215B,MOTHER`S BIRTH YEAR
J216AC08,ILO CODE 2008--FATHER PRF.
J216BC08,ILO CODE 2008--MOTHER PRF.
J217A,FATHER`S EDUCATION
J217B,MOTHER`S EDUCATION
J218.1,COMMUNIST--FATHER?
J218.2,COMMUNIST--MOTHER?
J219,COMMUNIST--YOURSELF?
J220.1,MEDICAL SERVICE--WHAT ORG?
J220.2,SUPPLY WORK--WHAT ORG?
J220.3,GARBAGE REMOVAL--WHAT ORG?
J220.4,BUILD ROADS--WHAT ORG?
J221.1,COMMUNAL SERVICE--WHO SHOULD FIX PRICES?
J221.2,PETROL--WHO SHOULD FIX PRICES?
J221.3,FOOD GOODS--WHO SHOULD FIX PRICES?
J221.4,ACCOMODATION--WHO SHOULD FIX PRICES?
J222.1A,MUNICIPAL SERVICE SUPPLIERS--APPLIED?
J222.1B,MUNICIPAL SERVICE SUPPLIERS--HOW OFTEN?
J222.2A,HOUSING REGISTRATION--APPLIED?
J222.2B,HOUSING REGISTRATION--HOW OFTEN?
J222.3A,PASSPORT SERVICE--APPLIED?
J222.3B,PASSPORT SERVICE--HOW OFTEN?
J222.4A,POLICE--APPLIED?
J222.4B,POLICE--HOW OFTEN?
J222.5A,COURT--APPLIED?
J222.5B,COURT--HOW OFTEN?
J222.6A,ROAD POLICE--APPLIED?
J222.6B,ROAD POLICE--HOW OFTEN?
J223,DONE WITH EARLIER PRIVATIZED ENTERPRISES
J224,WERE YOU A COOPERANT IN THE 80`S?
J225,ECONOMIC RANK ON 9-STEP LADDER IN 1991
J226,TO TRUST OR TO BE CAREFUL IN 1991?
J227,WHAT PEOPLE RESPECTED IN 1991?
J228.1,DONE BETTER THAN COLLEAGUES--THAN BEFORE
J228.2,YOU LIVE BETTER--THAN BEFORE 91
J228.3,PEOPLE LIVE BETTER--THAN BEFORE 91
J229.1A,LOST PLACE OF WORK FROM 1991?
J229191,LOST PLACE OF WORK IN 91
J229192,LOST PLACE OF WORK IN 92
J229193,LOST PLACE OF WORK IN 93
J229194,LOST PLACE OF WORK IN 94
J229195,LOST PLACE OF WORK IN 95
J229196,LOST PLACE OF WORK IN 96
J229197,LOST PLACE OF WORK IN 97
J229198,LOST PLACE OF WORK IN 98
J229199,LOST PLACE OF WORK IN 99
J229100,LOST PLACE OF WORK IN 00
J229101,LOST PLACE OF WORK IN 01
J229102,LOST PLACE OF WORK IN 02
J229103,LOST PLACE OF WORK IN 03
J229104,LOST PLACE OF WORK IN 04
J229105,LOST PLACE OF WORK IN 05
J229106,LOST PLACE OF WORK IN 06
J229.2A,HAD TO CHANGE PLACE OF WORK FROM 1991?
J229291,CHANGE PLACE OF WORK IN 91
J229292,CHANGE PLACE OF WORK IN 92
J229293,CHANGE PLACE OF WORK IN 93
J229294,CHANGE PLACE OF WORK IN 94
J229295,CHANGE PLACE OF WORK IN 95
J229296,CHANGE PLACE OF WORK IN 96
J229297,CHANGE PLACE OF WORK IN 97
J229298,CHANGE PLACE OF WORK IN 98
J229299,CHANGE PLACE OF WORK IN 99
J229200,CHANGE PLACE OF WORK IN 00
J229201,CHANGE PLACE OF WORK IN 01
J229202,CHANGE PLACE OF WORK IN 02
J229203,CHANGE PLACE OF WORK IN 03
J229204,CHANGE PLACE OF WORK IN 04
J229205,CHANGE PLACE OF WORK IN 05
J229206,CHANGE PLACE OF WORK IN 06
J229.3A,HAD TO AGREE TO ADD.WORK FROM 1991?
J229391,AGREEE TO ADD.WORK IN 91
J229392,AGREEE TO ADD.WORK IN 92
J229393,AGREEE TO ADD.WORK IN 93
J229394,AGREEE TO ADD.WORK IN 94
J229395,AGREEE TO ADD.WORK IN 95
J229396,AGREEE TO ADD.WORK IN 96
J229397,AGREEE TO ADD.WORK IN 97
J229398,AGREEE TO ADD.WORK IN 98
J229399,AGREEE TO ADD.WORK IN 99
J229300,AGREEE TO ADD.WORK IN 00
J229301,AGREEE TO ADD.WORK IN 01
J229302,AGREEE TO ADD.WORK IN 02
J229303,AGREEE TO ADD.WORK IN 03
J229304,AGREEE TO ADD.WORK IN 04
J229305,AGREEE TO ADD.WORK IN 05
J229306,AGREEE TO ADD.WORK IN 06
J229.4A,SALARY DECREASED FROM 1991?
J229491,SALARY DECREASED IN 91
J229492,SALARY DECREASED IN 92
J229493,SALARY DECREASED IN 93
J229494,SALARY DECREASED IN 94
J229495,SALARY DECREASED IN 95
J229496,SALARY DECREASED IN 96
J229497,SALARY DECREASED IN 97
J229498,SALARY DECREASED IN 98
J229499,SALARY DECREASED IN 99
J229400,SALARY DECREASED IN 00
J229401,SALARY DECREASED IN 01
J229402,SALARY DECREASED IN 02
J229403,SALARY DECREASED IN 03
J229404,SALARY DECREASED IN 04
J229405,SALARY DECREASED IN 05
J229406,SALARY DECREASED IN 06
J229.5A,FOUND A PLACE OF WORK FROM 1991?
J229591,FOUND A PLACE OF WORK IN 91
J229592,FOUND A PLACE OF WORK IN 92
J229593,FOUND A PLACE OF WORK IN 93
J229594,FOUND A PLACE OF WORK IN 94
J229595,FOUND A PLACE OF WORK IN 95
J229596,FOUND A PLACE OF WORK IN 96
J229597,FOUND A PLACE OF WORK IN 97
J229598,FOUND A PLACE OF WORK IN 98
J229599,FOUND A PLACE OF WORK IN 99
J229500,FOUND A PLACE OF WORK IN 00
J230.92,3 BEST YEARS--92?
J230.93,3 BEST YEARS--93?
J230.94,3 BEST YEARS--94?
J230.95,3 BEST YEARS--95?
J230.96,3 BEST YEARS--96?
J230.97,3 BEST YEARS--97?
J230.98,3 BEST YEARS--98?
J230.99,3 BEST YEARS--99?
J230.00,3 BEST YEARS--00?
J230.01,3 BEST YEARS--01?
J230.02,3 BEST YEARS--02?
J230.03,3 BEST YEARS--03?
J230.04,3 BEST YEARS--04?
J230.05,3 BEST YEARS--05?
J230.06,3 BEST YEARS--06?
J231.91,3 WORST YEARS--91?
J231.92,3 WORST YEARS--92?
J231.93,3 WORST YEARS--93?
J231.94,3 WORST YEARS--94?
J231.95,3 WORST YEARS--95?
J231.96,3 WORST YEARS--96?
J231.97,3 WORST YEARS--97?
J231.98,3 WORST YEARS--98?
J231.99,3 WORST YEARS--99?
J231.00,3 WORST YEARS--00?
J231.01,3 WORST YEARS--01?
J231.02,3 WORST YEARS--02?
J231.03,3 WORST YEARS--03?
J231.04,3 WORST YEARS--04?
J231.05,3 WORST YEARS--05?
J231.06,3 WORST YEARS--06?
J232,SOC_ECON CHANGES AFFECT LIFE
J233,WANT CHILDREN TO GROW UP IN USSR_RUSSIA?
J234.01,DOMESTIC TV CHANNELS--USE?
J234.02,FOREIGN TV CHANNELS--USE?
J234.03,DOMESTIC RADIO STATIONS--USE?
J234.04,FOREIGN RADIO STATIONS--USE?
J234.05,DOMESTIC NEWSPAPERS AND JOURNALS--USE?
J234.06,FOREIGN NEWSPAPERS AND JOURNALS--USE?
J234.07,INTERNET--USE?
J234.08,"FRIENDS, FAMILY AND COLLEAGUES--USE?"
J235,MAIN INFORMATION SOURCE
J236.1,1ST CHANNEL_ORT--WATCHED IN 96?
J236.2,RUSSIAN_RTR--WATCHED IN 96?
J236.3,NTV--WATCHED IN 96?
J237,WATCH THE NEWS MOST FREQ
J276,DO YOU KNOW SOMETHING ABOUT MATERNAL CAPITAL?
J277,WHAT AMOUNT OF MATERNAL CAPITAL WAS DETERMINED BY GOV OF RUSSIAN FEDERATION
J279,WHEN WILL IT BE POSSIBLE TO USE MATERNAL CAPITAL?
J280,IS IT POSSIBLE TO GET MATERNAL CAPITAL BY CASH?
J281,"IS IT POSSIBLE TO SPEND MATERNAL CAPITAL BY PARTS FOR DIFFERENT NEEDS, WHICH AR"
J282,"IF YOU GOT RIGHT TO MC BECAUSE OF GIVING A BIRTH TO A CHILD, WHAT WOULD YOU SP"
J283,DO YOU BELIEVE THAT THOSE WHO HAVE RIGHT TO MC REALLY WILL BE ABLE TO USE
J284,DO YOU SUPPORT GOV ARRANGEMENTS FOR IMPROVEMENT OF PROVISION CHILDREN WITH
J285,HOW MANY MIGRANTS LIVE IN YOUR (CITY_SETTLEMENT_VILLAGE)?
J286,WHAT PERCENT OF ALL CITIZENS OF YOUR (CITY_SETTLEMENT_VILLAGE) ARE MIGRANTS?
J287.1,"HOW OFTEN DO YOU MEET MIGRANTS IN THE STREETS, IN TRANSPORT, IN SHOPS AND OTH"
J287.2,HOW OFTEN DO YOU MEET MIGRANTS AS SALESMEN IN THE MARKET
J287.3,HOW OFTEN DO YOU MEET MIGRANTS AS SALESMEN IN THE SHOP
J287.4,HOW OFTEN DO YOU MEET MIGRANTS AS STREET CLEANERS AND OTHER SERVICE STAFF OF THE HOUSE WHERE YOU LIVE IN
J287.5,"HOW OFTEN DO YOU MEET MIGRANTS AS LODGERS OF THE HOUSE WHERE YOU LIVE IN, NEIGHBOURS"
J288.3,HOW WOULD YOU REGARDED IF AN ORDINAL FAMILY SETTLED NEAR YOU WERE FROM
J288.4,HOW WOULD YOU REGARDED IF AN ORDINAL FAMILY SETTLED NEAR YOU WERE FROM
J288.5,HOW WOULD YOU REGARDED IF AN ORDINAL FAMILY SETTLED NEAR YOU WERE FROM MIDD
J288.6,HOW WOULD YOU REGARDED IF AN ORDINAL FAMILY SETTLED NEAR YOU WERE FROM CHIN
J289,APPROVAL OF A BAN ON THE TEMPORARY RESIDENCE OF MIGRANTS IN YOUR TOWN
J290,APPROVAL OF A BAN ON THE PERMANENT RESIDENCE OF MIGRANTS IN YOUR TOWN
J291,HOW DO YOU FEEL ABOUT THE ACTIONS OF GROUPS THAT ATTACK THE VISITORS FROM ASI
J292,HAVE YOU EVER EMPLOY MIGRANTS FROM OTHER REGIONS OF RUSSIA OR OTHER COUNTRI
J293.1,YEAR WHEN YOU HIRE WORKERS FROM OTHER REGIONS OF RUSSIA AND OTHER COUNTRIE
J293.2,YEAR WHEN YOU HIRE WORKERS FROM OTHER REGIONS OF RUSSIA AND OTHER COUNTRIE
J293.3,YEAR WHEN YOU HIRE WORKERS FROM OTHER REGIONS OF RUSSIA AND OTHER COUNTRIE
J293.4,YEAR WHEN YOU HIRE WORKERS FROM OTHER REGIONS OF RUSSIA AND OTHER COUNTRIE
J293.5,YEAR WHEN YOU HIRE WORKERS FROM OTHER REGIONS OF RUSSIA AND OTHER COUNTRIE
J293.6,YEAR WHEN YOU HIRE WORKERS FROM OTHER REGIONS OF RUSSIA AND OTHER COUNTRIE
J293.7,YEAR WHEN YOU HIRE WORKERS FROM OTHER REGIONS OF RUSSIA AND OTHER COUNTRIE WORK ON THE FARM?
J294.1,ADVANTAGES_MIGRANTS IN COMPARISON WITH LOCAL WORKERS - LABOR 1# IS CHEAPER THEN LABOR 2#
J294.2,ADVANTAGES_MIGRANTS IN COMPARISON WITH LOCAL WORKERS - MIGRANTS QUALIFICATI AND QUALITY ARE HIGHER
J294.3,ADVANTAGES_MIGRANTS IN COMPARISON WITH LOCAL WORKERS - LOCAL WORKERS DO N TAKE SUCH WORK
J294.4,ADVANTAGES_MIGRANTS IN COMPARISON WITH LOCAL WORKERS - IT IS EASIER TO CONTR MIGRANTS
J294.5,ADVANTAGES_MIGRANTS IN COMPARISON WITH LOCAL WORKERS - MIGRANTS ARE MORE DISCIPLINED
J294.6,ADVANTAGES_MIGRANTS IN COMPARISON WITH LOCAL WORKERS - MIGRANTS ARE READY  WORK AS MUCH AS NEEDED
J294.7,"ADVANTAGES_MIGRANTS IN COMPARISON WITH LOCAL WORKERS - IT IS EASIER, FASTER T FIND MIGRANTS"
J295.1,FROM WHAT REGIONS OF RUSSIA OR WHAT COUNTRIES WERE MIGRANTS WHICH YOU EMPLOYED LAST TIME WERE?
J295.2,FROM WHAT REGIONS OF RUSSIA OR WHAT COUNTRIES WERE MIGRANTS WHICH YOU EMPLOYED LAST TIME WERE?
J295.3,FROM WHAT REGIONS OF RUSSIA OR WHAT COUNTRIES WERE MIGRANTS WHICH YOU EMPLOYED LAST TIME WERE?
J295.4,FROM WHAT REGIONS OF RUSSIA OR WHAT COUNTRIES WERE MIGRANTS WHICH YOU EMPLOYED LAST TIME WERE?
J295.5,FROM WHAT REGIONS OF RUSSIA OR WHAT COUNTRIES WERE MIGRANTS WHICH YOU EMPLOYED LAST TIME WERE?
J296.1,WHAT WAS THE NATIONALITY OF THOSE PEOPLE?
J296.2,WHAT WAS THE NATIONALITY OF THOSE PEOPLE?
J296.3,WHAT WAS THE NATIONALITY OF THOSE PEOPLE?
J296.4,WHAT WAS THE NATIONALITY OF THOSE PEOPLE?
J296.5,WHAT WAS THE NATIONALITY OF THOSE PEOPLE?
J297.1,"WHAT WORK THEY DID? REPAIR OF FLAT, HOUSE, DACHA"
J297.2,"WHAT WORK THEY DID? BUILDING OF HOUSE, EXTENSION, BATH-HOUSE"
J297.3,"WHAT WORK THEY DID? FLAT, HOUSE, DACHA CLEANING"
J297.4,WHAT WORK THEY DID? COOKING
J297.5,WHAT WORK THEY DID? BABY-SITTER WORK
J297.6,"WHAT WORK THEY DID? OTHER EDUCATIONAL AND UPBRINGING WORK–TEACHERS, TRAINE"
J297.7,"WHAT WORK THEY DID? NUESE WORK (FOR ILL, OLD PEOPLE)"
J297.8,"WHAT WORK THEY DID? AGRICULTURAL WORK, WORK AT HOMESTEAD LAND"
J297.9,WHAT WORK THEY DID? OTHER HOUSE WORK
J298.1,HOW DID YOU FIND THEM? YOU ADVERTISED
J298.2,HOW DID YOU FIND THEM? THEY OFFERED THEIR SERVICES
J298.3,HOW DID YOU FIND THEM? WORKED IN THE NEIGHBOURHOOD
J298.4,"HOW DID YOU FIND THEM? BY RECOMMENDATION OF FRIENDS, RELATIVES"
J298.5,"HOW DID YOU FIND THEM? THEY WERE DIRECTED BY COMPANY, AGENCY WHERE YOU APPLI TO"
J299,HAVE YOU SATISFIED BY THEIR WORK
J300.1,HAVE YOU SATISFIED BY QUALITY OF WORK
J300.2,"HAVE YOU SATISFIED BY QUALIFICATION, EXPERIENCE OF WORK"
J300.3,HAVE YOU SATISFIED BY PRICE OF WORK
J300.4,HAVE YOU SATISFIED BY TERM OF DOING WORK
J300.5,"HAVE YOU SATISFIED BY HONESTY, DECENCY"
J300.6,"HAVE YOU SATISFIED BY EXECUTIVENESS, OBLIGATION, RELIABILITY"
J301.1,FACED SITUATION_MIGRANTS WHO WERE EMPLOYED LAST TIME KNOW LANGUAGE BAD
J301.2,FACED SITUATION_MIGRANTS WHO WERE EMPLOYED LAST TIME BEHAVE THEMSELVES UNPREDICTABLY
J301.3,FACED SITUATION_MIGRANTS WHO WERE EMPLOYED LAST TIME WERE QUILTY OF DISAPPEARANCE OF SOMETHING
J301.4,"FACED SITUATION_MIGRANTS WHO WERE EMPLOYED LAST TIME LAZY, TRIED TO GET OUT O WORK"
J301.5,FACED SITUATION_MIGRANTS WHO WERE EMPLOYED LAST TIME DIRTY IN LIFE
J301.6,"FACED SITUATION_MIGRANTS WHO WERE EMPLOYED LAST TIME DRINK HARD, BEHAVE LIKE HOOLIGANS"
J302,WERE THE MIGRANTS WHO WORKED WITH YOU LAST TIME REGISTERED OFFICIALLY IN YOU (CITY_SETTLEMENT_VILLAGE)?
J303.1,YOU HELPED THEM TO DRAW UP REGISTRATION
J303.2,YOU HELPED THEM LICENCE FOR WORK
J303.3,YOU GAVE THEM LODGING INCLUDING AT THE PLACE OF DOING WORK
J303.4,YOU PAID THEM A PART OF SALARY IN ADVANCE AFTER THEIR REQUEST
J303.5,YOU FEEDED THEM
J304,DID YOU DRAW UP ANYWAY YOUR RELATIONS WITH THE MIGRANTS WHO WORKED WITH YO LAST TIME?
J305,WHY DID NOT YOU DRAW UP YOUR RELATIONS WITH THE MIGRANTS WHO WORKED WITH Y
J306,WHICH POINT OF VIEW ABOUT MIGRANTS IS CLOSER TO YOU?
J307.1,HOW DO YOU THINK HOW OFTEN THE CAUSE OF UNJUST ATTITUDES TO PEOPLE IS THEIR S
J307.2,HOW DO YOU THINK HOW OFTEN THE CAUSE OF UNJUST ATTITUDES TO PEOPLE IS THEIR NATIONALITY
J307.3,HOW DO YOU THINK HOW OFTEN THE CAUSE OF UNJUST ATTITUDES TO PEOPLE IS THEIR SOCIAL ORIGIN
J307.4,HOW DO YOU THINK HOW OFTEN THE CAUSE OF UNJUST ATTITUDES TO PEOPLE IS THEIR A
J307.5,HOW DO YOU THINK HOW OFTEN THE CAUSE OF UNJUST ATTITUDES TO PEOPLE IS THAT TH HAVE NOT ENOUGH MONEY
J307.6,HOW DO YOU THINK HOW OFTEN THE CAUSE OF UNJUST ATTITUDES TO PEOPLE IS THAT TH HAVE A LOT OF MONEY
J307.7,HOW DO YOU THINK HOW OFTEN THE CAUSE OF UNJUST ATTITUDES TO PEOPLE IS THEIR HOMELAND
J307.8,HOW DO YOU THINK HOW OFTEN THE CAUSE OF UNJUST ATTITUDES TO PEOPLE IS THAIR RELIGIOUS VIEWS
J307.9,HOW DO YOU THINK HOW OFTEN THE CAUSE OF UNJUST ATTITUDES TO PEOPLE IS SOMETHI OTHER
J333.1,AGREE OR DISAGREE WITH THE FOLLOWING STATESMENTS: IT IS NECESSARY TO HAVE SAVINGS FOR A RAINY DAY
J333.7,"AGREE OR DISAGREE: YOU PREFER ENJOY YOUR LIFE, TO LIVE IN STYLE, AND THUS YOU NE MONEY TO DO SO TODAY"
J333.8,AGREE OR DISAGREE: INTEREST PAYMENTS ON CREDIT IS TOO MUCH OF A HEAVY BURDEN
J333.9,"AGREE OR DISAGREE: DURING A PERIOD OF INPFLATION, THE MOST IMPORTANT THING IS T SAVE MONEY"
J333.10,AGREE OR DISAGREE: IT IS CUSTOMARY TO HAVE SAVINGSIN YOUR ENVIRONMENT
J333.11,AGREE OR DISAGREE: YOU ARE UNABLE TO SAVE MONEY FOR A LONG TIME
J333.12,AGREE OR DISAGREE: YOU TRY TO INVEST YOU SAVINGS TO EARN ADDITIONAL INCOME
J333.13,"AGREE OR DISAGREE: YOU ARE READY TO ACCEPT CREDIT FROM THE BANK, THE CONDITIO ARE ACCEPTABLE TO YOU"
J333.14,AGREE OR DISAGREE: YOU TRY NOT TO USE CREDIT – IT IS UNCERTAIN WHETHER YOU BE A TO PAY IT BACK
J333.15,AGREE OR DISAGREE: YOUR SAVINGS MAY BE USEFUL FOR YOUR RELATIVES
J333.16,AGREE OR DISAGREE: CREDIT – IT IS USEFUL
J333.17,AGREE OR DISAGREE: IT IS QUITE EASY FOR YOU TO GET CREDIT FROM THE BANK
J333.18,"AGREE OR DISAGREE: YOU ALWAYS CAN EARN MONEY, RECEIVE HELP, BORROW FROM BANK SO YOU DO NOT  NEED SAVINGS"
J333.19,AGREE OR DISAGREE: YOU ARE ALWAYS BORROWING MONEY FROM RELATIVES OR FRIENDS
J333.20,AGREE OR DISAGREE: YOU WOULD NEVER TAKE CREDIT FROM THE BANK
J333.21,AGREE OR DISAGREE: ONE SHOULD NOT BE AFRAID OF TAKING LOANS
J335.1,"IF IN ADDITION TO YOUR CUR INC, YOU RECEIVE SUM OF MONEY EQUAL TO 3M WORTH OF YOUR NORMAL INC. HOW WILL YOU REACT? 1 ANSW"
J335.2,"IF IN ADDITION TO YOUR CUR INC, YOU RECEIVE SUM OF MONEY EQUAL TO 3M WORTH OF YOUR NORMAL INC. HOW WILL YOU REACT? 2 ANSW"
J339,WHY ARE YOU UNWILLING TO WORK MORE HOURS? WHAT IS THE MAIN REASON?
J340,BY WHAT PERCENT WOULD YOUR PERSONAL INCOME NEED TO BE INCREASED FOR YOU TO WORK 2 ADDITIONAL HOURS?
J341,ARE YOU SATISFIED WITH THE AMOUNT OF TIME YOU SPEND ON HOME AND FAMILY OBLIGATIONS?
J342,DO YOU WANT TO DEVOTE MORE TIME TP FAMILY AND HOME OBLIGATIONS?
J343,WHY ARE YOU UNWILLING TO DEVOTE MORE TIME TO FAMILY AND HOME OBLIGATIONS? WH IS THE MAIN REASON?
J344,ARE YOU READY TO ACCEPT A REDUCTION IN YOUR PERSONAL INCOME LEVEL TO GET MORE TIME FOR FAMILY AND HOME?
